key,source_file,line_number,byte_offset,source_text,translation_zh,notes
BOSS_Banshee_2,Tiny Rogues_Data\resources.assets,11,0xA2EECB,WoOoOh-OaAa!,哇喔喔喔喔！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Banshee_Enrage,Tiny Rogues_Data\resources.assets,12,0xA2EEF0,Don't be afraid\nof Death's touch!\nDeath is so kind to us...,不要害怕\n死亡的触摸！\n死亡对我们是如此仁慈......,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Queen_Bee_1,Tiny Rogues_Data\resources.assets,13,0xA2EF4B,"Those who invade my hive,\nshall be punished!",入侵我巢穴的人\n，将受到惩罚！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Queen_Bee_2,Tiny Rogues_Data\resources.assets,14,0xA2EF93,BzzZZz - BzZZzz!,嗡嗡嗡——嗡嗡嗡！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Queen_Bee_3,Tiny Rogues_Data\resources.assets,15,0xA2EFBE,BzzZZzz!,嗡嗡嗡！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Queen_Bee_Enrage,Tiny Rogues_Data\resources.assets,16,0xA2EFE1,You should have escaped\nwhile you could.\nI am done holding back!,你应该趁你还可以的时候逃走\n.\n我受够了！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Mandrake_1,Tiny Rogues_Data\resources.assets,17,0xA2F043,You disrupt nature's peace...\nI will stop you.,你破坏了自然的和平......\n我会阻止你。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Mandrake_2,Tiny Rogues_Data\resources.assets,18,0xA2F08C,AwOo-ig-gi-ig-gi-ah!,哇喔-ig-gi-ig-gi-啊！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Mandrake_Enrage,Tiny Rogues_Data\resources.assets,19,0xA2F0BA,Who cares about nature's peace!\nYou made me angry.\nThis is now personal!,谁关心大自然的和平！\n你让我生气了。\n现在这是个人的！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Vampire_1,Tiny Rogues_Data\resources.assets,20,0xA2F123,Who disturbs my slumber?\nYou shall pay for this with your life.,谁打扰了我的睡眠？\n你将为此付出生命的代价。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Vampire_2,Tiny Rogues_Data\resources.assets,21,0xA2F17C,Weh-he-he-he-he!,呃呃呃呃呃！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Vampire_Enrage,Tiny Rogues_Data\resources.assets,22,0xA2F1A5,I am an immortal\ncreature of the night!\nYou cannot defeat me!,我是不朽的\n夜之生物！\n你无法击败我！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Gargoyles_1,Tiny Rogues_Data\resources.assets,23,0xA2F202,We defend this place\nwith all our strength.,我们竭尽全力保卫这个地方\n。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Gargoyles_2,Tiny Rogues_Data\resources.assets,24,0xA2F249,ROAAARRR!!!,哇啊！！！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Gargoyles_Enrage,Tiny Rogues_Data\resources.assets,25,0xA2F26F,My brother...\nI shall avenge you!,我的兄弟...\n我将为你报仇！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Pharaoh_1,Tiny Rogues_Data\resources.assets,26,0xA2F2B1,The cycle of life and\ndeath continues.\nI will live.\nYou will die.,生命和\n死亡的循环仍在继续。\n我会活。\n你会死。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Pharaoh_2,Tiny Rogues_Data\resources.assets,27,0xA2F30E,You journey ends here.,您的旅程到此结束。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Pharaoh_Enrage,Tiny Rogues_Data\resources.assets,28,0xA2F33D,The prophecy foretold\nthat I shall be victorious.\nYour death is certain.,预言\n我将取得胜利.\n你的死亡是肯定的。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Sphinx_1,Tiny Rogues_Data\resources.assets,29,0xA2F3A5,"I am blessed with the\npower of the sun.\nI will use this power,\nto stop you.",我有幸拥有\n太阳的力量。\n我将使用这种力量\n来阻止你。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Sphinx_2,Tiny Rogues_Data\resources.assets,30,0xA2F40B,ROAARRRRR!!!,吼吼！！！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Sphinx_Enrage,Tiny Rogues_Data\resources.assets,31,0xA2F42F,You truly are a burden\nto this world.\nI am done holding back.,你确实是这个世界的负担\n.\n我受够了。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Kraken_1,Tiny Rogues_Data\resources.assets,32,0xA2F48B,Tiny human.\nMe big.\nYou weak!\nI crush you.,小人类.\n我大.\n你弱小！\n我压垮你。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Kraken_2,Tiny Rogues_Data\resources.assets,33,0xA2F4D0,AwoOoO-GyaAa-AaA!!!,AwoOoO-GyaAa-AaA!!!,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Kraken_Enrage,Tiny Rogues_Data\resources.assets,34,0xA2F4FB,"So tiny, so weak!\nMakes me angry!\nStop hiding!",这么小，这么弱！\n让我生气！\n别再躲了！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Neptune_1,Tiny Rogues_Data\resources.assets,35,0xA2F548,I rule over the sea.\nI control the tides.\nI control the storms.\nFace my wrath!,我统治大海.\n我控制潮汐.\n我控制风暴.\n面对我的愤怒！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Neptune_2,Tiny Rogues_Data\resources.assets,36,0xA2F5B2,You are out of your\nelement kiddo!,你的\n元素已经用完了，孩子！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Neptune_Enrage,Tiny Rogues_Data\resources.assets,37,0xA2F5EE,Pathetic little human!\nYou're nothing but a small\nfish in a big pond!,可悲的小人类！\n你只不过是大池塘里的一条小\n鱼！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Phoenix_1,Tiny Rogues_Data\resources.assets,38,0xA2F653,The mountain's rage is my rage.\nThere is no forgiving those\nwho befoul the mountain!,山的愤怒就是我的愤怒。\n不能原谅那些玷污山的\n！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Phoenix_2,Tiny Rogues_Data\resources.assets,39,0xA2F6C2,Gy-A-OoOo!,Gy-A-OoOo！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Phoenix_Enrage,Tiny Rogues_Data\resources.assets,40,0xA2F6E5,Annoying little brat!\nEverything will burn!,烦人的小家伙！\n一切都会燃烧！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_RedDragon_1,Tiny Rogues_Data\resources.assets,41,0xA2F72F,I am the king under the mountain!\nI am fire!\nI am ... death!,我是山下之王！\n我是火！\n我是……死亡！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_RedDragon_2,Tiny Rogues_Data\resources.assets,42,0xA2F788,GrRr-RoO-ARrRrR!,GrRr-RoO-ARrRrR!,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_RedDragon_Enrage,Tiny Rogues_Data\resources.assets,43,0xA2F7B3,Your kind should bow\nbefore my greatness!\nI am done with your insolence!,你们应该在我的伟大面前鞠躬\n！\n我受够了你们的无礼！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Succubus_1,Tiny Rogues_Data\resources.assets,44,0xA2F81D,"Oh my!\nWhat brings you to me?\nBe sure, that I will\ntake great pleasure\nin your suffering.",天啊！\n是什么让你来到我这里？\n当然，我会\n在你的痛苦中感到极大的快乐\n。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Succubus_2,Tiny Rogues_Data\resources.assets,45,0xA2F894,Ki-ki-ki-ki-ki!,基基基基基基！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Succubus_Enrage,Tiny Rogues_Data\resources.assets,46,0xA2F8BD,We could have had\nso much fun...\nDo me a favour and don't\nbeg for mercy? Okay?,我们本来可以\n如此多的乐趣...\n帮我一个忙，不要\n求饶吗？好的？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Cerberus_1,Tiny Rogues_Data\resources.assets,47,0xA2F92D,I have your scent.\nRun.\n...,我有你的气味.\nRun.\n...,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated; 人工校对：完整句校正"
BOSS_Cerberus_2,Tiny Rogues_Data\resources.assets,48,0xA2F964,GrR-R-RrRAOoOOAhHhH!,GrR-R-RrRAOoOOAhHhH！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Cerberus_3,Tiny Rogues_Data\resources.assets,49,0xA2F992,"So tiny and small,\nyet so quick...\nLittle rogue,\nthe hunt has just begun.",这么小，\n却这么快......\n小流氓，\n狩猎才刚刚开始。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_MindFlayer_1,Tiny Rogues_Data\resources.assets,50,0xA2F9F8,What brings you down this\ndeep into the dark.\nMadness?,是什么让你陷入这个\n深处的黑暗.\n疯狂？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_MindFlayer_2,Tiny Rogues_Data\resources.assets,51,0xA2FA4C,Nea-hea-ha-ha-ha!,尼-哈-哈-哈-哈！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_MindFlayer_Enrage,Tiny Rogues_Data\resources.assets,52,0xA2FA79,Surrender!\nI've read your mind.\nYou've got nothing left\nto fight for!,投降！\n我读懂了你的心思。\n你已经没有什么了\n可以争取！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Ooze_1,Tiny Rogues_Data\resources.assets,53,0xA2FAE2,I am king!\nI am hungry!\nI must consume everything!,我是国王！\n我饿了！\n我必须吃掉一切！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Ooze_2,Tiny Rogues_Data\resources.assets,54,0xA2FB2C,Gwo-goBoBobO!,Gwo-goBoBobO！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Ooze_Enrage,Tiny Rogues_Data\resources.assets,55,0xA2FB4F,Why so mean?\nYou no have respect?\nNot fun!,为什么这么刻薄？\n你没有尊重？\n不好玩！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_1,Tiny Rogues_Data\resources.assets,56,0xA2FB96,"In the end,\n all mortals bow to death.",最终，\n所有凡人都向死亡低头。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_3,Tiny Rogues_Data\resources.assets,57,0xA2FC0E,You have come very far.\nCount me impressed.,你已经走了很远了。\n算我印象深刻。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_4,Tiny Rogues_Data\resources.assets,58,0xA2FC51,But nonetheless.\nYour time has come.,但尽管如此.\n你的时代已经到来。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_5,Tiny Rogues_Data\resources.assets,59,0xA2FC8D,You need to die.,你需要死。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_Telegraph_1,Tiny Rogues_Data\resources.assets,60,0xA2FCB4,So easily severed...,如此轻易地被切断...,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_Telegraph_2,Tiny Rogues_Data\resources.assets,61,0xA2FCE9,Darkness!,黑暗！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_Telegraph_3,Tiny Rogues_Data\resources.assets,62,0xA2FD13,Fool!,傻瓜！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_Telegraph_4,Tiny Rogues_Data\resources.assets,63,0xA2FD39,Usurper!,篡位者！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_Telegraph_5,Tiny Rogues_Data\resources.assets,64,0xA2FD62,Die!,死吧！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Death_Phase_Transition,Tiny Rogues_Data\resources.assets,65,0xA2FD87,ENOUGH!,够了！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Old_Man_Event,Tiny Rogues_Data\resources.assets,66,0xA2FDB4,"I have been expecting you,\nbrave soul.\nTake this weapon,\nit shall aid you on your journey.",我一直在等你，\n勇敢的灵魂。\n拿起这件武器，\n它将在你的旅程中帮助你。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Heroes_Grave_1,Tiny Rogues_Data\resources.assets,67,0xA2FE29,"""Here rests a once powerful hero.""",“这里长眠着一位曾经强大的英雄。”,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Heroes_Grave_2,Tiny Rogues_Data\resources.assets,68,0xA2FE66,"""They fought valiantly\nto protect the innocent.""",“他们英勇战斗\n保护无辜者。”,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Heroes_Grave_3,Tiny Rogues_Data\resources.assets,69,0xA2FEB2,"*Hearing about the heroes legacy,\nfills you with Determination.",*听说英雄的遗产，\n让你充满决心。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Ancient_Tome_1,Tiny Rogues_Data\resources.assets,70,0xA2FF0B,There is a bookmark in the tome!\nTake the bookmark?,书中有一个书签！\n拿走书签？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Ancient_Tome_2,Tiny Rogues_Data\resources.assets,71,0xA2FF58,"*Nothing but a boring,\nbig, old and dusty tome.\nYou can't even understand\nthe language it's written in.*",*只不过是一本无聊的\n又大又旧又布满灰尘的书。\n你甚至无法理解\n它所用的语言。*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Cultist_Altar,Tiny Rogues_Data\resources.assets,72,0xA2FFDC,"Sacrifice 1 heart<sprite name=""Health"">?","牺牲 1 颗心<sprite name=""Health"">？","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Wizard_Statue,Tiny Rogues_Data\resources.assets,73,0xA3001E,Investigate the statue of a wizard?,调查巫师雕像？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Knight_Statue,Tiny Rogues_Data\resources.assets,74,0xA30059,Investigate the statue of a knight?,调查骑士雕像？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Ranger_Statue,Tiny Rogues_Data\resources.assets,75,0xA30094,Investigate the statue of a ranger?,调查游侠雕像？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Statue_Event_Question,Tiny Rogues_Data\resources.assets,76,0xA300CF,There is something hidden\nin the crevice.\nTake it?,缝隙里藏着东西\n.\n拿走吗？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Statue_Event_Locked,Tiny Rogues_Data\resources.assets,77,0xA30123,*The crevice closed.*,*缝隙关闭。*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Monkey_Statue_1,Tiny Rogues_Data\resources.assets,78,0xA30156,Touch the golden monkey statue?,摸金丝猴雕像？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Monkey_Statue_2,Tiny Rogues_Data\resources.assets,79,0xA3018F,"*You gained [[+1]] luck<sprite name=""Luck"">\nbut you also have been cursed<sprite name=""Curse"">\nby the golden monkey.*","*你获得了[[+1]]运气<sprite name=""Luck"">\n但你也被金丝猴诅咒了<sprite name=""Curse"">\n。*","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Mana_Shrine_1,Tiny Rogues_Data\resources.assets,80,0xA30224,Read the glyphs inscribed the mana shrine?,读懂法力神殿上铭刻的字形了吗？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Mana_Shrine_2,Tiny Rogues_Data\resources.assets,81,0xA30266,"*Reading the ancient texts,\nempowered your magical potency.*",*阅读古代文献，\n赋予你神奇的力量。*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Mana_Shrine_3,Tiny Rogues_Data\resources.assets,82,0xA302BB,"*You gained [[+1]] maximum mana<sprite name=""Mana"">.*","*您获得了[[+1]]最大法力<sprite name=""Mana"">。*","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Jungle_Pylon_1,Tiny Rogues_Data\resources.assets,83,0xA3030A,Touch the strange crystal?,触摸奇怪的水晶？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Jungle_Pylon_2,Tiny Rogues_Data\resources.assets,84,0xA3033D,*You have been blessed\nby the power of the pylon.*,*你已经被塔的力量祝福\n。*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Jungle_Pylon_3,Tiny Rogues_Data\resources.assets,85,0xA30389,"*You gained [[+3]] Magic Find<sprite name=""Magic_Find"">.*","*您获得了[[+3]] 魔力搜寻<sprite name=""Magic_Find"">。*","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated; 人工校对：术语统一"
Golden_Tree,Tiny Rogues_Data\resources.assets,86,0xA303DD,Examine the golden tree?,考察金树？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Coffin,Tiny Rogues_Data\resources.assets,87,0xA3040B,Open the coffin?,打开棺材？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Wishing_Well,Tiny Rogues_Data\resources.assets,88,0xA3042C,"Throw 1 Gold<sprite name=""Gold""> into the well?","将 1 金币<sprite name=""Gold""> 扔进井里？","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Sin_Goddess_1,Tiny Rogues_Data\resources.assets,89,0xA304DA,Pray to the statue\nof the Goddess of Sin?,向罪恶女神像\n祈祷？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Sin_Goddess_2,Tiny Rogues_Data\resources.assets,90,0xA3051C,*You feel the Goddess of Sin\nwatching over you.*,*你感觉到罪恶女神\n在注视着你。*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Sin_Goddess_3,Tiny Rogues_Data\resources.assets,91,0xA30565,"*You gained [[50% reduced]] chance of\ncurse<sprite name=""Curse""> taking effect.*","*你的[[减少了50%]]\n诅咒<sprite name=""Curse"">生效的几率。*","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Gambler_Ghost_1,Tiny Rogues_Data\resources.assets,92,0xA305D0,Want to play a game?\nYou can win some Ethereal Dice!,想玩游戏吗？\n你可以赢得一些空灵骰子！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Gambler_Ghost_2,Tiny Rogues_Data\resources.assets,93,0xA3061F,"He-he-he!\nPerfect, let's play!",嘿嘿嘿！\n完美，我们来玩吧！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Gambler_Ghost_3,Tiny Rogues_Data\resources.assets,94,0xA30658,"Oh!?\nBut what's life without\na little fun, right?\nHe-he-he!",哦！？\n但是没有\n的生活还算有趣吗？\n呵呵呵！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Gambler_Ghost_Done_Playing,Tiny Rogues_Data\resources.assets,95,0xA306B0,"Ah sorry,\nI don't feel like playing anymore right now.",啊抱歉，\n我现在不想玩了。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Gambler_Ghost_On_Loss,Tiny Rogues_Data\resources.assets,96,0xA3070C,You win!\nHe-he-he!\nWe should play again...,你赢了！\n呵呵呵！\n我们应该再玩一次......,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Gambler_Ghost_On_Win,Tiny Rogues_Data\resources.assets,97,0xA30758,"I win!\nNo dice for you, he-he-he!\nWe should play again!",我赢了！\n没有骰子给你，呵呵！\n我们应该再玩一次！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Oasis_1,Tiny Rogues_Data\resources.assets,98,0xA307B0,Take a rest?,休息一下吗？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Oasis_2,Tiny Rogues_Data\resources.assets,99,0xA307CE,*You feel refreshed and relaxed.*,*您感到神清气爽、放松。*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Potion_Buyer,Tiny Rogues_Data\resources.assets,100,0xA30801,"Hello, Potion Seller,\nI am going into battle and\nI want your strongest potions.",你好，药水卖家，\n我要去战斗，\n我想要你最强的药水。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Potion_Seller,Tiny Rogues_Data\resources.assets,101,0xA30869,"My potions are too strong\nfor you, traveller.",我的药水对你来说太强了\n，旅行者。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Genie_1,Tiny Rogues_Data\resources.assets,102,0xA308AF,Rub the magic lamp?,擦神灯？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Genie_2,Tiny Rogues_Data\resources.assets,103,0xA308D4,"Master,\nI shall fulfil one wish,\nwhat do you wish for?",主人，\n我要实现一个愿望，\n你想要什么？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Genie_Wealth,Tiny Rogues_Data\resources.assets,104,0xA3091E,Wealth,财富,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Genie_Power,Tiny Rogues_Data\resources.assets,105,0xA3093B,Might,可能,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Genie_3,Tiny Rogues_Data\resources.assets,106,0xA30956,So shall it be.,就这样吧。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Genie_4,Tiny Rogues_Data\resources.assets,107,0xA30977,"My work is done here,\ncontinue onwards, master.",我的工作已经完成了，\n继续前进，主人。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Giant_Clam_1,Tiny Rogues_Data\resources.assets,108,0xA309B9,Try to snatch the Pearl Ring?,试图抢夺珍珠戒指？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Giant_Clam_Success,Tiny Rogues_Data\resources.assets,109,0xA309ED,*Got it!*,*明白了！*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Giant_Clam_Fail,Tiny Rogues_Data\resources.assets,110,0xA30A13,*Ouch!\nNot quick enough!*,*哎呀！\n不够快！*,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Leviathan_1,Tiny Rogues_Data\resources.assets,111,0xA30A47,Watching.,正在观看。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Leviathan_2,Tiny Rogues_Data\resources.assets,112,0xA30A66,Consume.,消耗。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Leviathan_3,Tiny Rogues_Data\resources.assets,113,0xA30A84,Reward.,奖励。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Leviathan_4,Tiny Rogues_Data\resources.assets,114,0xA30AA1,"Feed souls? (5<sprite name=""Soul"">)","喂养灵魂？ (5<sprite name=""Soul"">)","Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Rune_Stone_1,Tiny Rogues_Data\resources.assets,115,0xA30ADC,Investigate the rune stone?,调查符文石？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Rune_Stone_2,Tiny Rogues_Data\resources.assets,116,0xA30B0E,You cannot comprehend\nthe arcane nature of the rune stone.,你无法理解\n符文石的奥术本质。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Rune_Stone_3,Tiny Rogues_Data\resources.assets,117,0xA30B60,The rune stone\nrecognizes your potency\nand enhanced your abilities.,符文石\n识别你的潜力\n并增强你的能力。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Burnt_Tree,Tiny Rogues_Data\resources.assets,118,0xA30BBC,Examine the burnt tree?,检查被烧毁的树？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
Guillotine,Tiny Rogues_Data\resources.assets,119,0xA30BE8,Investigate the corpse?,调查尸体？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
